nomComplet,lienWikidata,distinction,date,annee
Daniel Lanois,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,1997-01-01,1997
Béatrice Picard,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2012-01-01,2012
Gilles Pelletier,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1993-01-01,1993
Raymond Lévesque,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,1997-01-01,1997
Raymond Lévesque,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,1997-01-01,1997
Gilles Vigneault,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1993-01-01,1993
Gilles Vigneault,http://www.wikidata.org/entity/Q992455,prix Molson,1982-01-01,1982
Gilles Vigneault,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
Gilles Vigneault,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1965-01-01,1965
Gilles Vigneault,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2000-01-01,2000
Gilles Vigneault,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,1987-01-01,1987
Michel Cusson,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2006-01-01,2006
Michel Cusson,http://www.wikidata.org/entity/Q15278101,Membre de l’Ordre du Canada,2020-12-30,2020
Lynda Lemay,http://www.wikidata.org/entity/Q16682527,Victoire de l'artiste interprète féminine,2003-01-01,2003
Jean Lapointe,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2006-01-01,2006
Monique Mercure,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Monique Mercure,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1993-01-01,1993
Monique Mercure,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2010-01-01,2010
Monique Mercure,http://www.wikidata.org/entity/Q28494101,Prix Gascon-Roux,1993-01-01,1993
Clémence Desrochers,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Clémence Desrochers,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2009-01-01,2009
Clémence Desrochers,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2001-01-01,2001
Clémence Desrochers,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,2005-01-01,2005
Janine Sutto,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,1998-01-01,1998
Janine Sutto,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
Gilles Latulippe,http://www.wikidata.org/entity/Q21672796,grand officier de l'ordre de la Pléiade,2015-01-01,2015
Gilles Latulippe,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2009-01-01,2009
Dominique Besnehard,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2014-07-09,2014
Dominique Besnehard,http://www.wikidata.org/entity/Q10855195,officier de la Légion d'honneur,2017-04-14,2017
Dominique Besnehard,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,2004-07-13,2004
Fernand Dansereau,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2018-01-01,2018
Fernand Dansereau,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2005-01-01,2005
Wyclef Jean,http://www.wikidata.org/entity/Q28801919,grand officier de l'ordre national Honneur et mérite,2011-01-01,2011
René-Daniel Dubois,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1984-01-01,1984
Louise Portal,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2003-01-01,2003
Jacques Godin,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2017-01-01,2017
Louise Marleau,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2006-01-01,2006
Louise Marleau,http://www.wikidata.org/entity/Q547316,prix Génie de la meilleure actrice,1984-01-01,1984
Louise Marleau,http://www.wikidata.org/entity/Q547316,prix Génie de la meilleure actrice,1986-01-01,1986
